Team,ID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,W,D,L,GF,GA,GD,Pts
Real Madrid,RMA,2,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,29,6,3,106,41,65,93
Barcelona,BAR,1,2,2,2,3,2,4,4,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,2,2,28,6,4,116,37,79,90
Atletico Madrid,ATM,9,12,7,4,4,3,1,1,5,3,4,6,4,4,6,6,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,23,9,6,70,27,43,78
Sevilla,SEV,3,4,2,5,2,6,3,3,2,4,5,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,21,9,8,69,49,20,72
Villarreal,VIL,13,13,8,6,6,4,5,5,4,5,3,4,6,5,4,4,5,6,6,6,5,6,6,6,6,6,5,5,6,5,5,5,5,5,5,5,5,5,19,10,9,56,33,23,67
Real Sociedad,RSO,19,9,12,13,8,11,9,10,7,6,6,5,5,6,5,5,6,5,5,5,6,5,5,5,5,5,6,6,5,7,6,7,7,7,7,7,7,6,19,7,12,59,53,6,64
Athletic Bilbao,ATH,14,18,14,10,7,5,6,6,6,7,7,7,8,7,7,7,7,7,7,7,9,8,8,8,8,7,7,7,7,6,8,6,6,6,6,6,6,7,19,6,13,53,43,10,63
Espanyol,ESP,17,14,15,16,15,18,17,17,16,12,13,12,12,12,9,9,11,11,9,9,8,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,10,8,15,11,12,49,50,-1,56
Alaves,ALA,8,11,9,9,12,9,12,9,13,15,12,14,13,13,13,12,12,12,12,12,12,12,11,11,11,11,10,10,11,11,11,11,11,10,10,10,9,9,14,13,11,41,43,-2,55
Eibar,EIB,15,8,6,7,9,8,8,8,11,8,11,8,7,8,8,8,10,9,10,10,7,7,7,7,7,8,8,8,8,8,7,8,8,8,8,8,8,10,15,9,14,56,51,5,54
Valencia,VAL,18,20,19,20,18,15,18,14,15,14,15,16,16,17,17,17,17,17,15,15,15,15,14,14,13,13,13,14,13,12,12,12,12,12,13,13,12,12,13,7,18,56,65,-9,46
Celta Vigo,CEL,16,19,20,19,17,12,10,12,8,9,8,9,9,9,12,13,9,8,8,8,10,10,9,10,10,10,11,11,10,10,10,10,10,11,11,12,13,13,13,6,19,53,69,-16,45
Real Betis,BET,20,17,13,12,16,10,15,16,12,13,14,13,14,14,14,14,14,14,13,13,13,13,15,15,14,14,14,13,14,14,15,14,14,15,15,15,15,15,10,9,19,41,64,-23,39
Leganes,LEG,7,7,11,14,10,13,11,11,14,16,17,15,15,15,15,16,16,16,17,17,17,17,17,16,16,17,17,17,17,17,17,17,17,17,17,16,16,17,8,11,19,36,55,-19,35
Sporting Gijon,SPO,6,6,3,8,11,14,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,18,18,18,18,18,18,18,18,18,18,18,7,10,21,42,72,-30,31
Osasuna,OSA,12,15,18,18,20,20,19,19,19,19,19,19,19,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,4,10,24,40,94,-54,22
Granada,GRA,10,16,17,17,19,19,20,20,20,20,20,20,20,19,19,19,19,19,19,20,19,19,19,19,18,18,18,19,19,19,19,19,19,19,19,19,20,20,4,8,26,30,82,-52,20
Deportivo La Coruna,COR,5,5,10,11,13,16,13,15,17,17,16,17,17,16,16,15,15,15,16,16,16,16,16,17,17,16,15,16,16,16,16,16,16,16,16,17,17,16,8,12,18,43,61,-18,36
Las Palmas,PAL,4,1,4,3,5,7,7,7,9,10,9,10,10,10,10,10,8,10,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,14,10,9,19,53,74,-21,39
Malaga,MAL,11,10,16,15,14,17,14,13,10,11,10,11,11,11,11,11,13,13,14,14,14,14,13,13,15,15,16,15,15,15,14,15,15,14,12,11,11,11,12,10,16,49,55,-6,46
